video_id,url,title,channel_name,published_at,view_count,persons_found,total_persons
PkUsTDD773A,https://youtu.be/PkUsTDD773A,Stop what you're doing: Ariana Grande is going on Hot Ones❗,First We Feast,2024-08-07T19:00:25Z,889467,Ariana Grande,1
ALfH_xnwjng,https://youtu.be/ALfH_xnwjng,Sabrina Carpenter takes on DA BOMB 😅,First We Feast,2024-07-22T15:00:15Z,1107667,Sabrina Carpenter,1
6w0Gf_vVkTY,https://youtu.be/6w0Gf_vVkTY,WHO YOU GOT? The Hot Ones crew bets on who will win: Billie Eilish or Finneas? 😂,First We Feast,2024-07-15T15:00:07Z,103260,Billie Eilish,1
Qy1jdCZdbks,https://youtu.be/Qy1jdCZdbks,Billie Eilish + Finneas x Hot Ones = PURE CHAOS 😂,First We Feast,2024-07-13T19:00:13Z,1219859,Billie Eilish,1
8fAupIQbkB4,https://youtu.be/8fAupIQbkB4,Sabrina Carpenter's reaction to every wing on Hot Ones 🥵 👑,First We Feast,2024-07-12T18:00:04Z,10111131,Sabrina Carpenter,1
J2ucwE1vCt8,https://youtu.be/J2ucwE1vCt8,Will Billie Eilish rank how talented her musical heroes are?! 😲😂,First We Feast,2024-07-11T16:00:16Z,7205991,Billie Eilish,1
msnI0D1SDSg,https://youtu.be/msnI0D1SDSg,Sabrina Carpenter Talks Nonsense While Eating Spicy Wings | Hot Ones,First We Feast,2024-07-11T15:00:48Z,10339338,Sabrina Carpenter,1
lDXEMaahXcY,https://youtu.be/lDXEMaahXcY,Get ready for Sabrina Carpenter on Hot Ones 👀,First We Feast,2024-07-10T19:00:31Z,576626,Sabrina Carpenter,1
-2yTzR9bULg,https://youtu.be/-2yTzR9bULg,Billie Eilish vs. Finneas | Hot Ones Versus,First We Feast,2024-07-09T15:00:00Z,6732276,Billie Eilish,1
n22xRN3mmRI,https://youtu.be/n22xRN3mmRI,I wonder what Sabrina Carpenter texted her lol,First We Feast,2024-07-04T16:00:44Z,3694485,Sabrina Carpenter,1
iv6lwXOff3I,https://youtu.be/iv6lwXOff3I,Lupita Nyong’o Feels Every Emotion While Eating Spicy Wings | Hot Ones,First We Feast,2024-06-27T15:00:46Z,2150280,Taylor Swift,1
meLldeCa2mU,https://youtu.be/meLldeCa2mU,Heidi Klum Strikes a Pose While Eating Spicy Wings | Hot Ones,First We Feast,2024-06-20T15:00:44Z,2780131,Snoop Dogg,1
CVqOZfKm-II,https://youtu.be/CVqOZfKm-II,Will Smith ranks his best movie of ALL TIME  🏆,First We Feast,2024-06-17T23:00:06Z,117944,Will Smith,1
d5NsZYeOpJ4,https://youtu.be/d5NsZYeOpJ4,Will Smith's reaction to every wing on Hot Ones 🔥,First We Feast,2024-06-07T17:00:32Z,405012,Will Smith,1
OVADZrhZF1E,https://youtu.be/OVADZrhZF1E,Will Smith Can't See While Eating Spicy Wings | Hot Ones,First We Feast,2024-06-06T15:00:30Z,3480723,Will Smith,1
_IJ8lh-o6OM,https://youtu.be/_IJ8lh-o6OM,Get ready for Will Smith on Hot Ones 👀,First We Feast,2024-06-05T19:00:16Z,156179,Will Smith,1
eYElRYQducQ,https://youtu.be/eYElRYQducQ,Chris Hemsworth vs. DA BOMB = priceless 🥵🥵,First We Feast,2024-06-03T18:00:30Z,442566,Chris Hemsworth,1
U-tIbGkvU7I,https://youtu.be/U-tIbGkvU7I,Lewis Hamilton's reaction to every wing on Hot Ones 💀,First We Feast,2024-05-31T17:00:17Z,210425,Lewis Hamilton,1
0PdtS98IlcM,https://youtu.be/0PdtS98IlcM,Lewis Hamilton Goes Full Send While Eating Spicy Wings | Hot Ones,First We Feast,2024-05-30T15:00:00Z,6787641,Lewis Hamilton,1
DWAFwb6bJ8Q,https://youtu.be/DWAFwb6bJ8Q,Get ready for LEWIS HAMILTON on Hot Ones 🏁🏎️,First We Feast,2024-05-29T19:00:06Z,300898,Lewis Hamilton,1
2vPQfKFl_a0,https://youtu.be/2vPQfKFl_a0,Chris Hemsworth's reaction to every wing on Hot Ones 🔥,First We Feast,2024-05-24T18:00:01Z,804362,Chris Hemsworth,1
0HZPyhnErFo,https://youtu.be/0HZPyhnErFo,Chris Hemsworth Gets Nervous While Eating Spicy Wings | Hot Ones,First We Feast,2024-05-23T15:00:01Z,5542532,Chris Hemsworth,1
VZjyasM55nc,https://youtu.be/VZjyasM55nc,Get ready for CHRIS HEMSWORTH on the season premiere of Hot Ones ❗,First We Feast,2024-05-22T19:00:25Z,193963,Chris Hemsworth,1
